adult,genres,id,original_language,popularity,production_companies,production_countries,runtime,spoken_languages,status,title,vote_average,vote_count,likeable
0,18,77338,35.0,0.012431567706288808,9,76.0,113,26.0,1,The Intouchables,0.8,0.46689935673695443,1
0,35,1179664,28.0,0.009610138180119568,147717,144.0,93,28.0,1,A Deadly Invitation,0.6000000000000001,0.0025095912539302508,0
0,18,216015,26.0,0.013852342421057522,10146,235.0,125,26.0,1,Fifty Shades of Grey,0.6000000000000001,0.32137190988548187,1
0,28,813477,52.0,0.01273364765406148,4145,112.0,121,52.0,1,Shin Kamen Rider,0.7000000000000001,0.006028788184728993,0
0,18,238,26.0,0.025461245267250004,4,235.0,175,26.0,1,The Godfather,0.9,0.5436293881789598,1
0,27,980078,26.0,0.012864075279392297,155744,234.0,84,26.0,1,Winnie the Pooh: Blood and Honey,0.5,0.027518966163786886,0
0,14,42994,52.0,0.014522771368955415,528,112.0,113,52.0,1,Memories,0.7000000000000001,0.010846049557215796,0
0,16,8920,26.0,0.013766797657086497,1302,235.0,80,26.0,1,Garfield,0.6000000000000001,0.10540283266507053,0
0,28,1036561,26.0,0.013042340437206909,185718,235.0,90,26.0,1,Shadow Master,0.7000000000000001,0.002480745377448294,0
0,27,1126577,26.0,0.011603556298444296,104311,235.0,109,26.0,1,Til Death Do Us Part,0.6000000000000001,0.001153835059278276,0
0,16,1154598,26.0,0.025072072870631838,4081,61.0,46,26.0,1,LEGO Marvel Avengers: Code Red,0.7000000000000001,0.0005192257766752242,0
0,35,991708,28.0,0.011275587803680397,21546,45.0,112,26.0,1,El Conde,0.6000000000000001,0.0031442005365333024,0
0,27,346364,26.0,0.01312718170805317,12,235.0,135,26.0,1,It,0.7000000000000001,0.5223411313352756,1
0,18,910571,26.0,0.014042566961993082,27497,235.0,113,26.0,1,Fair Play,0.7000000000000001,0.006605705714368131,0
0,35,4247,26.0,0.014784470811366763,10958,235.0,88,26.0,1,Scary Movie,0.6000000000000001,0.1848732223728618,1
0,27,760104,26.0,0.017247822337032304,41077,235.0,106,26.0,1,X,0.7000000000000001,0.06729742983240546,0
0,28,983793,26.0,0.014830479261726176,35625,235.0,100,26.0,1,Mojave Diamonds,0.6000000000000001,8.653762944587071e-05,0
